model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
sdjoko/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8391,text-classification,5e-05,32,4.0,,2023-10-28T23:40:16.000Z,,3,finetune
fredriko/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8514,text-classification,5e-05,32,4.0,,2023-10-29T10:57:37.000Z,,3,finetune
eusojk/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8501,text-classification,5e-05,32,4.0,,2023-10-29T21:12:27.000Z,,3,finetune
snrism/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8466,text-classification,5e-05,32,4.0,,2023-10-29T22:20:19.000Z,,3,finetune
mankness/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8611,text-classification,5e-05,32,4.0,,2023-10-30T00:05:58.000Z,,3,finetune
isrraelmendoza92/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8418,text-classification,5e-05,32,4.0,,2023-10-30T01:27:09.000Z,,3,finetune
elrarun/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8652,text-classification,5e-05,32,4.0,,2023-10-31T02:16:48.000Z,,3,finetune
smenon/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8528,text-classification,5e-05,32,4.0,,2023-10-31T02:45:43.000Z,,3,finetune
valenaparicio16/bioBERT-finetuned-financial-phrasebank,bert-base-uncased,financial_phrasebank,,text-classification,2e-05,16,3.0,,2023-11-21T03:57:45.000Z,,3,finetune
swamime/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8294,text-classification,5e-05,32,4.0,,2023-11-03T13:52:32.000Z,,3,finetune
fredmulligan/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,text-classification,5e-05,32,4.0,,2023-11-03T17:57:57.000Z,,3,finetune
tangohoteltango/sentiment-analysis,distilbert-base-uncased,financial_phrasebank,,text-classification,5e-05,16,3.0,,2024-11-07T18:39:45.000Z,,3,finetune
assix-research/FinBERT-Tech-Sentiment,bert-base-uncased,financial_phrasebank,,text-classification,,,,,2025-10-25T21:56:35.000Z,,3,finetune
EomaxlSam/finbert-finetuned-sentimentpulse,bert-base-uncased,financial_phrasebank,,text-classification,,,,,2026-03-26T15:39:52.000Z,,3,finetune
JeswinMS4/bert-base-intent,bert-base-uncased,financial_phrasebank,,text-classification,2e-05,,3.0,,2023-04-14T08:13:05.000Z,,2,finetune
chjooon/text_classification_1,distilbert-base-uncased,financial_phrasebank,0.8351,text-classification,2e-05,16,3.0,,2023-06-21T10:25:55.000Z,,2,finetune
IngeniousArtist/stablelm-3b-finance,,financial_phrasebank,0.4081,text-classification,0.0002,1,1.0,,2023-08-28T09:47:56.000Z,,2,finetune
IngeniousArtist/openllama-3b-finance,,financial_phrasebank,0.4143,text-classification,0.0002,1,1.0,,2023-08-24T05:36:30.000Z,,2,finetune
langecod/Financial_Phrasebank_RoBERTa,roberta-base,financial_phrasebank,,text-classification,,,,,2023-09-26T03:05:48.000Z,,2,finetune
thomaslam04/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8377,text-classification,5e-05,32,4.0,,2023-10-22T20:57:01.000Z,,2,finetune
Priyabrata018/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8624,text-classification,5e-05,32,4.0,,2023-10-24T12:48:09.000Z,,2,finetune
KalleV/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8597,text-classification,5e-05,32,4.0,,2023-10-24T18:49:25.000Z,,2,finetune
sschangi/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,text-classification,5e-05,32,4.0,,2023-10-28T06:33:48.000Z,,2,finetune
JPBianchi/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8762,text-classification,5e-05,32,4.0,,2023-10-25T19:01:33.000Z,,2,finetune
ramnathv/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8638,text-classification,5e-05,32,4.0,,2023-11-07T21:29:34.000Z,,2,finetune
snowc2023/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,text-classification,5e-05,32,4.0,,2023-10-27T19:09:28.000Z,,2,finetune
willgannon/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8604,text-classification,5e-05,32,4.0,,2023-11-25T11:28:05.000Z,,2,finetune
sirenstitches/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,text-classification,5e-05,32,4.0,,2023-10-28T15:48:16.000Z,,2,finetune
giantist/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,text-classification,5e-05,32,4.0,,2023-10-28T16:35:37.000Z,,2,finetune
girijesh/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,text-classification,5e-05,32,4.0,,2023-10-28T16:52:30.000Z,,2,finetune
phusun/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8666,text-classification,5e-05,32,4.0,,2023-10-28T19:19:36.000Z,,2,finetune
guilima5/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8521,text-classification,5e-05,32,4.0,,2023-10-29T00:30:03.000Z,,2,finetune
nikolasmoya/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8597,text-classification,5e-05,32,4.0,,2023-10-29T11:25:57.000Z,,2,finetune
akode/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,text-classification,5e-05,32,4.0,,2023-10-29T12:23:42.000Z,,2,finetune
richychn/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8686,text-classification,5e-05,32,4.0,,2023-10-29T18:49:38.000Z,,2,finetune
Daluque/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.859,text-classification,5e-05,32,4.0,,2023-10-30T01:34:53.000Z,,2,finetune
neerajprad/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8576,text-classification,5e-05,32,4.0,,2023-10-30T04:36:08.000Z,,2,finetune
aleidolf/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8398,text-classification,5e-05,32,4.0,,2023-10-31T15:43:14.000Z,,2,finetune
akshay7/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,text-classification,5e-05,32,4.0,,2023-11-04T05:49:15.000Z,,2,finetune
ebuwaevbuoma-fike/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8576,text-classification,5e-05,32,4.0,,2023-11-04T21:23:47.000Z,,2,finetune
VishsubbAI/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8618,text-classification,5e-05,32,4.0,,2023-11-06T08:49:06.000Z,,2,finetune
mr8488/distilroberta-finetuned-financial-news-sentiment-analysis,roberta-base,financial_phrasebank,,text-classification,2e-05,8,5.0,,2024-04-23T18:51:37.000Z,,2,finetune
winddude/mamba_finacial_phrasebank_sentiment,,financial_phrasebank,,text-classification,,,,,2024-04-29T18:58:55.000Z,,2,finetune
vincentdrenth/ModernFinBERT,,financial_phrasebank,0.867,text-classification,8e-05,32,10.0,,2025-01-25T22:31:27.000Z,,2,finetune
Farshid/roberta-large-financial-phrasebank-allagree1,roberta-base,financial_phrasebank,0.9735,text-classification,2e-05,8,5.0,,2022-08-09T02:16:17.000Z,,1,finetune
santis2/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8514,text-classification,5e-05,32,4.0,,2023-10-26T17:00:11.000Z,,1,finetune
edangx100/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8693,text-classification,5e-05,32,4.0,,2023-10-27T06:56:02.000Z,,1,finetune
d4niel92/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8459,text-classification,5e-05,32,4.0,,2023-10-27T14:37:54.000Z,,1,finetune
sgsyyz/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,text-classification,5e-05,32,4.0,,2023-10-27T23:20:16.000Z,,1,finetune
Odiurd/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8645,text-classification,5e-05,32,4.0,,2023-10-28T12:41:59.000Z,,1,finetune
Saiteja/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.859,text-classification,5e-05,32,4.0,,2023-10-29T12:07:55.000Z,,1,finetune
mbrewerdavis/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,text-classification,5e-05,32,10.0,,2023-10-29T19:57:03.000Z,,1,finetune
judy93536/distilroberta-rbm231k-ep20-op40-phr2,roberta-base,financial_phrasebank,0.9558,text-classification,1.153335054745316e-06,16,30.0,,2023-12-02T18:48:57.000Z,,1,finetune
judy93536/distilroberta-rbm231k-ep20-op40-all-agree_2p2k,roberta-base,financial_phrasebank,0.9603,text-classification,1.253335054745316e-06,16,30.0,,2023-12-03T22:46:55.000Z,,1,finetune
yyf001125/financial-SentimentAnalysis-distilbert,distilbert-base-uncased,financial_phrasebank,,text-classification,,,,,2024-03-21T02:26:35.000Z,,1,finetune
halvion/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,financial_phrasebank,0.9801,text-classification,2e-05,16,2.0,,2024-09-13T14:35:34.000Z,,1,finetune
Farshid/bert-large-uncased-financial-phrasebank-allagree2,bert-base-uncased,financial_phrasebank,0.9912,text-classification,2e-05,8,5.0,,2022-08-10T05:02:54.000Z,,0,finetune
gd1m3y/sentiment_bert,bert-base-uncased,financial_phrasebank,0.936,text-classification,5e-05,8,6.0,,2022-11-30T15:04:50.000Z,,0,finetune
daan1213/my_awesome_model,distilbert-base-uncased,financial_phrasebank,0.9669,text-classification,2e-05,16,2.0,,2023-06-24T14:52:31.000Z,,0,finetune
daniel-gordon/bioBERT-finetuned-financial-phrasebank,bert-base-uncased,financial_phrasebank,,text-classification,2e-05,16,1.0,,2023-11-01T05:08:12.000Z,,0,finetune
Prathyusha101/pythia_1b_100_epochs_0.005,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-07-14T19:43:03.000Z,,3,finetune
Prathyusha101/tldr-ppco-g0p5-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-18T11:47:37.000Z,,3,finetune
Prathyusha101/aug_10_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-11T17:41:36.000Z,,2,finetune
Prathyusha101/aug_14_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-15T16:48:47.000Z,,2,finetune
Prathyusha101/tldr-ppco-g0p95-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-23T10:47:14.000Z,,2,finetune
Prathyusha101/tldr-ppco-g1p0-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T10:22:14.000Z,,2,finetune
Prathyusha101/tldr-ppco-g1p0-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T14:52:57.000Z,,2,finetune
Prathyusha101/tldr-ppco-g0p95-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T16:44:46.000Z,,2,finetune
Prathyusha101/aug_9_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-10T16:40:16.000Z,,1,finetune
Prathyusha101/tldr-ppco-g0p5-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-18T18:15:44.000Z,,1,finetune
Prathyusha101/tldr-ppco-g0p5-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T11:17:20.000Z,,1,finetune
Prathyusha101/tldr-ppco-g0p95-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T05:10:53.000Z,,1,finetune
Prathyusha101/tldr-ppco-g1p0-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,text-classification,,,,,2025-08-19T05:21:26.000Z,,1,finetune
Intel/polite-guard,bert-base-uncased,Intel/polite-guard,,text-classification,,,,,2025-02-24T03:07:08.000Z,,2052,finetune
bert-base-uncased,,Intel/polite-guard,,text-classification,,,,,2025-02-24T03:07:08.000Z,,,lineage
enguard/tiny-guard-4m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:58:49.000Z,,18,finetune
enguard/medium-guard-128m-xx-general-politeness-multiclass-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:58:29.000Z,,17,finetune
enguard/small-guard-32m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:58:40.000Z,,15,finetune
enguard/tiny-guard-2m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:59:06.000Z,,15,finetune
enguard/tiny-guard-8m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:58:58.000Z,,8,finetune
kzt005/polite-guard,bert-base-uncased,Intel/polite-guard,,text-classification,,,,,2026-04-16T05:55:19.000Z,,2,finetune
enguard/tiny-guard-8m-en-general-politeness-binary-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:58:08.000Z,,1,finetune
enguard/small-guard-32m-en-general-politeness-binary-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:57:20.000Z,,0,finetune
enguard/tiny-guard-2m-en-general-politeness-binary-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:57:31.000Z,,0,finetune
enguard/medium-guard-128m-xx-general-politeness-binary-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:57:50.000Z,,0,finetune
enguard/tiny-guard-4m-en-general-politeness-binary-intel,,Intel/polite-guard,,text-classification,,,,,2025-11-05T19:57:59.000Z,,0,finetune
visolex/emotion-sphobert,roberta-base,visolex/VSMEC,,text-classification,,,,,2026-01-05T16:13:17.000Z,,240,finetune
roberta-base,,visolex/VSMEC,,text-classification,,,,,2026-01-05T16:13:17.000Z,,,lineage
visolex/emotion-phobert-v1,roberta-base,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:41:43.000Z,,138,finetune
visolex/emotion-phobert-v2,roberta-base,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:40:59.000Z,,34,finetune
visolex/emotion-bartpho,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:44:16.000Z,,2,finetune
visolex/emotion-vit5,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:45:49.000Z,,2,finetune
visolex/emotion-visobert,xlm-roberta-base,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:46:37.000Z,,2,finetune
xlm-roberta-base,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:46:37.000Z,,,lineage
visolex/emotion-xlm-roberta,xlm-roberta-base,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:42:49.000Z,,1,finetune
visolex/emotion-mbert,bert-base-uncased,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:45:02.000Z,,0,finetune
bert-base-uncased,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:45:02.000Z,,,lineage
visolex/emotion-roberta-gru,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:48:28.000Z,,0,finetune
visolex/emotion-textcnn,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:49:02.000Z,,0,finetune
visolex/emotion-bilstm,,visolex/VSMEC,,text-classification,,,,,2026-01-05T03:49:45.000Z,,0,finetune
llm-semantic-router/mmbert32k-jailbreak-detector-merged,,lmsys/toxic-chat,,text-classification,,,,,2026-03-06T02:20:21.000Z,,3380,finetune
DominicTWHV/Horizon-1-Text-Large,,lmsys/toxic-chat,,text-classification,,,,,2026-05-02T11:39:04.000Z,,63,finetune
DominicTWHV/Constellation-One-Text,microsoft/deberta-v2-xlarge,lmsys/toxic-chat,,text-classification,,,,,2026-02-19T19:29:00.000Z,,22,finetune
microsoft/deberta-v2-xlarge,,lmsys/toxic-chat,,text-classification,,,,,2026-02-19T19:29:00.000Z,,,lineage
enguard/tiny-guard-4m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T20:49:15.000Z,,16,finetune
enguard/tiny-guard-2m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T20:49:06.000Z,,15,finetune
enguard/medium-guard-128m-xx-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T20:49:28.000Z,,15,finetune
enguard/small-guard-32m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T20:48:48.000Z,,14,finetune
jdleo1/tinysafe-1,,lmsys/toxic-chat,,text-classification,,,,,2026-03-02T07:03:00.000Z,,14,finetune
enguard/tiny-guard-8m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T20:48:56.000Z,,8,finetune
enguard/medium-guard-128m-xx-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T06:34:55.000Z,,7,finetune
AgentPublic/camembert-base-toxic-fr-user-prompts,camembert-base,lmsys/toxic-chat,,text-classification,,,,,2024-05-30T14:02:19.000Z,,6,finetune
camembert-base,,lmsys/toxic-chat,,text-classification,,,,,2024-05-30T14:02:19.000Z,,,lineage
llm-semantic-router/mmbert32k-jailbreak-detector-lora,,lmsys/toxic-chat,,text-classification,,,,,2026-02-01T04:13:04.000Z,,5,finetune
jdleo1/tinysafe-2,,lmsys/toxic-chat,,text-classification,,,,,2026-03-04T03:44:41.000Z,,5,finetune
independently-platform/picoguardian-v3,,lmsys/toxic-chat,,text-classification,,,,,2026-04-18T14:35:14.000Z,,5,finetune
kenhktsui/setfit_test_toxic_chat,,lmsys/toxic-chat,,text-classification,0.01,,,,2024-08-18T14:36:36.000Z,,4,finetune
enguard/tiny-guard-4m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T06:34:24.000Z,,4,finetune
enguard/tiny-guard-8m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T06:34:34.000Z,,2,finetune
enguard/tiny-guard-2m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T06:35:03.000Z,,2,finetune
enguard/small-guard-32m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,text-classification,,,,,2025-11-05T06:34:17.000Z,,1,finetune
arkaean/promptguard-ensemble,,lmsys/toxic-chat,,text-classification,,,,,2026-03-05T14:03:29.000Z,,0,finetune
logasanjeev/bert-emotion-classifier,,google-research-datasets/go_emotions,,text-classification,,,,,2026-03-11T18:09:09.000Z,,1863,finetune
ChrisLalk/German-Emotions,xlm-roberta-base,google-research-datasets/go_emotions,0.41,text-classification,3e-05,,,,2025-06-15T15:02:48.000Z,,1273,finetune
xlm-roberta-base,,google-research-datasets/go_emotions,0.41,text-classification,3e-05,,,,2025-06-15T15:02:48.000Z,,,lineage
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta-v3,roberta-base,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-13T01:17:11.000Z,,406,finetune
roberta-base,,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-13T01:17:11.000Z,,,lineage
yezdata/EmCoder,,google-research-datasets/go_emotions,,text-classification,,,,,2026-06-04T19:15:39.000Z,,392,finetune
duelker/samo-goemotions-deberta-v3-large,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,text-classification,,,,,2025-09-11T09:52:15.000Z,,389,finetune
microsoft/deberta-v2-xlarge,,google-research-datasets/go_emotions,,text-classification,,,,,2025-09-11T09:52:15.000Z,,,lineage
mradermacher/emotion-analyzer-bert-GGUF,,google-research-datasets/go_emotions,,text-classification,,,,,2026-03-22T17:51:23.000Z,,204,finetune
mkpvishnu/miniLM-go_Emotions,bert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2024-06-13T16:57:24.000Z,,145,finetune
bert-base-uncased,,google-research-datasets/go_emotions,,text-classification,,,,,2024-06-13T16:57:24.000Z,,,lineage
AliceYin/goemotions-roberta-large-focal-sota,roberta-base,google-research-datasets/go_emotions,,text-classification,1e-05,,,,2026-06-01T01:21:42.000Z,,77,finetune
joaopn/roberta-base-go_emotions-onnx-fp16,roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2026-01-28T20:48:29.000Z,,63,finetune
wncelrcn/mindmap-deBERTa-goemotions-multilabel,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,text-classification,,,,,2025-07-12T04:39:24.000Z,,31,finetune
fyaronskiy/ModernBERT-large-english-go-emotions,,google-research-datasets/go_emotions,,text-classification,,,,,2025-07-21T23:18:28.000Z,,25,finetune
sangkm/go-emotions-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-12T11:18:28.000Z,,11,finetune
Samra02/multilingual_emotion_analysis,bert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2026-03-18T11:39:55.000Z,,8,finetune
pinheiroxs/pinheiro-roberta-goemotions,roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2025-11-14T17:40:08.000Z,,6,finetune
samarthruckstar/xlm_hindi_english_emoClss,xlm-roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2026-05-15T12:38:18.000Z,,6,finetune
Hidden-States/roberta-base-goemotions,,google-research-datasets/go_emotions,,text-classification,,,,,2026-02-01T12:29:30.000Z,,5,finetune
maxpicy/modernbert-large-emotion-balanced,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-17T06:09:16.000Z,,5,finetune
Jsevisal/ModernEMO-base-multilabel,,google-research-datasets/go_emotions,0.6226,text-classification,8e-05,16,2.0,,2025-01-23T09:07:28.000Z,,4,finetune
ysenarath/roberta-base-go_emotions,roberta-base,google-research-datasets/go_emotions,0.4561,text-classification,5e-06,8,25.0,,2025-02-21T02:02:21.000Z,,4,finetune
AR04/Senti,,google-research-datasets/go_emotions,,text-classification,,,,,2025-09-16T07:02:17.000Z,,4,finetune
blindshark/distillbert-emotion-classification,distilbert-base-uncased,google-research-datasets/go_emotions,0.5820000000000001,text-classification,,,,,2025-10-05T12:12:08.000Z,,4,finetune
distilbert-base-uncased,,google-research-datasets/go_emotions,0.5820000000000001,text-classification,,,,,2025-10-05T12:12:08.000Z,,,lineage
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta-v2,roberta-base,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-12T18:56:54.000Z,,3,finetune
mishbahulal/distilbert-base-uncased,distilbert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2026-03-05T16:54:51.000Z,,3,finetune
Fynman-stack/raven-emotion-distilbert,distilbert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-12T09:06:49.000Z,,3,finetune
tojohere/goemotions-de-xlm-roberta-base,xlm-roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-07T08:42:57.000Z,,3,finetune
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-12T12:21:29.000Z,,2,finetune
wncelrcn/mindmap-deBERTa-small-goemotions-v2,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,text-classification,,,,,2025-07-12T04:38:22.000Z,,2,finetune
wncelrcn/mindmap-MiniLM-goemotions-v1,bert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2025-07-12T04:41:30.000Z,,2,finetune
VanshajR/roberta-emotion-7class,roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2025-11-20T11:19:30.000Z,,2,finetune
jovincia/qwen25-comment-classifier,,google-research-datasets/go_emotions,,text-classification,,,,,2026-02-27T10:42:38.000Z,,2,finetune
maxpicy/modernbert-base-emotion-balanced,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-17T06:10:51.000Z,,2,finetune
Kova-Mind/emotion-v1,roberta-base,google-research-datasets/go_emotions,,text-classification,2e-05,,,,2026-04-19T01:01:32.000Z,,2,finetune
Kova-Mind/emotion-v2,roberta-base,google-research-datasets/go_emotions,,text-classification,2e-05,,,,2026-04-21T02:12:27.000Z,,2,finetune
samarthruckstar/emotion_label_model,roberta-base,google-research-datasets/go_emotions,,text-classification,2e-05,,,,2026-05-10T15:33:52.000Z,,2,finetune
tuhanasinan/go-emotions-distilbert-pytorch,distilbert-base-uncased,google-research-datasets/go_emotions,0.6196,text-classification,5e-05,128,2.0,,2025-01-23T11:23:46.000Z,,1,finetune
tuhanasinan/go_emotions-distilbert-tensorflow,distilbert-base-uncased,google-research-datasets/go_emotions,0.6182,text-classification,,,,,2024-12-03T14:57:39.000Z,,1,finetune
sangkm/go-emotions-plus-other-datasets-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,text-classification,5e-05,8,3.0,,2024-12-12T12:21:23.000Z,,1,finetune
dafaqboomduck/distilbert-sentiment-fine,distilbert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2025-10-28T15:46:20.000Z,,1,finetune
pinheiroxs/pinheiro-roberta-goemotions-v2,roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2025-11-14T21:23:14.000Z,,1,finetune
YashHingu/Emotisence,roberta-base,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-19T14:28:05.000Z,,1,finetune
sajeewa/emotion-classification-bert,bert-base-uncased,google-research-datasets/go_emotions,,text-classification,,,,,2025-04-25T09:25:03.000Z,,0,finetune
tojohere/goemotions-ja-xlm-roberta-base,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-07T19:08:40.000Z,,0,finetune
YatishW79/bilstm-goemotions,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-23T19:03:06.000Z,,0,finetune
YatishW79/cnn-lstm-goemotions,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-23T19:03:07.000Z,,0,finetune
YatishW79/classical-ml-goemotions,,google-research-datasets/go_emotions,,text-classification,,,,,2026-04-23T19:03:48.000Z,,0,finetune
bhadresh-savani/distilbert-base-uncased-emotion,distilbert-base-uncased,emotion,,text-classification,2e-05,,,,2024-08-14T14:11:10.000Z,,20280,finetune
nateraw/bert-base-uncased-emotion,bert-base-uncased,emotion,,text-classification,2e-05,,,,2021-05-20T01:18:38.000Z,,9304,finetune
bhadresh-savani/bert-base-uncased-emotion,bert-base-uncased,emotion,,text-classification,2e-05,,,,2023-03-22T08:43:48.000Z,,5610,finetune
bhadresh-savani/albert-base-v2-emotion,albert-base-v2,emotion,,text-classification,2e-05,,,,2021-09-15T18:03:36.000Z,,4916,finetune
albert-base-v2,,emotion,,text-classification,2e-05,,,,2021-09-15T18:03:36.000Z,,,lineage
Toshifumi/bert-base-multilingual-cased-finetuned-emotion,bert-base-uncased,emotion,0.9195,text-classification,2e-05,64,2.0,,2022-04-14T08:27:21.000Z,,661,finetune
bhadresh-savani/roberta-base-emotion,roberta-base,emotion,,text-classification,2e-05,,,,2023-03-22T08:48:07.000Z,,623,finetune
roberta-base,,emotion,,text-classification,2e-05,,,,2023-03-22T08:48:07.000Z,,,lineage
TieIncred/distilbert-base-uncased-finetuned-emotional,distilbert-base-uncased,emotion,0.9305,text-classification,2e-05,64,2.0,,2024-01-11T10:30:18.000Z,,512,finetune
