Unnamed: 0,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
1794,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9345,,,,,,,,,
1819,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1833,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1834,gokuls/model_v1_complete_training_wt_init_48_small,dair-ai/emotion,,,text-classification,64.0,,5e-05,,10.0,,,,0.9375,,,,,,,,,
1835,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1837,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1838,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1840,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,,,,,,,,,,
1842,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1843,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1847,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1848,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1849,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9225,,,,,,,,,
1850,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.933,,,,,,,,,
1855,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.919,,,,,,,,,
1856,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1857,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9325,,,,,,,,,
1858,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1859,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1861,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1862,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9215,,,,,,,,,
1863,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1864,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1865,bert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,2e-05,,3.0,,,,,,,,,,,,,
1866,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1867,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9225,,,,,,,,,
1868,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9225,,,,,,,,,
1869,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1870,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1871,distilbert-base-multilingual-cased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.8895,,,,,,,,,
1873,microsoft/MiniLm-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,5.0,,,,,,,,,,,,,
1874,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9285,,,,,,,,,
1875,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1876,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.936,,,,,,,,,
1877,google/bert_uncased_L-4_H-256_A-4,dair-ai/emotion,,,text-classification,64.0,,5e-05,,10.0,,,,0.9285,,,,,,,,,
1878,google/bert_uncased_L-10_H-128_A-2,dair-ai/emotion,,,text-classification,64.0,,5e-05,,10.0,,,,0.925,,,,,,,,,
1879,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1880,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.929,,,,,,,,,
1881,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1883,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,10.0,,,,0.9355,,,,,,,,,
1884,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,2e-05,,2.0,,,,,,,,,,,,,
1887,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9215,,,,,,,,,
1888,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,5e-05,,2.0,,,,0.935,,,,,,,,,
1889,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,10.0,,,,,,,,,,,,,
1891,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9275,,,,,,,,,
1892,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,10.0,,,,0.9395,,,,,,,,,
1893,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1894,gokuls/HBERTv1_48_L10_H768_A12,dair-ai/emotion,,,text-classification,64.0,,5e-05,,50.0,,,,0.897,,,,,,,,,
1895,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1896,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1897,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9175,,,,,,,,,
1898,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1899,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,2e-05,,2.0,,,,0.93,,,,,,,,,
1900,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1901,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,5e-05,,2.0,,,,0.93,,,,,,,,,
1902,jhgan/ko-sroberta-multitask,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.907,,,,,,,,,
1904,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1905,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,2.0,,,,0.933,,,,,,,,,
1906,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1907,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9375,,,,,,,,,
1908,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,2e-05,,2.0,,,,0.904,,,,,,,,,
1909,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1910,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1911,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.933,,,,,,,,,
1912,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.928,,,,,,,,,
1914,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.922,,,,,,,,,
1915,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9285,,,,,,,,,
1916,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9185,,,,,,,,,
1917,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9315,,,,,,,,,
1919,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.937,,,,,,,,,
1920,google/electra-base-discriminator,dair-ai/emotion,,,text-classification,32.0,,5e-05,,3.0,,,,0.944,,,,,,,,,
1921,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1922,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1923,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1924,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1925,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1926,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1927,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.921,,,,,,,,,
1928,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,1e-06,,9.0,,,,0.747,,,,,,,,,
1929,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1930,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,,,,,,,,,,
1931,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1932,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1933,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.932,,,,,,,,,
1934,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.929,,,,,,,,,
1935,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1936,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1938,bert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1939,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1940,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.931,,,,,,,,,
1941,distilbert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,3.507837996446784e-06,,5.0,,,,0.921,,,,,,,,,
1942,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
2428,uitnlp/visobert,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2429,vinai/phobert-base,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2430,vinai/phobert-base-v2,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2431,vinai/bartpho-syllable-base,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2432,vinai/phobert-base,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2433,bert-base-multilingual-cased,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2434,vinai/phobert-base-v2,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2435,xlm-roberta-large,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2436,VietAI/vit5-base,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2437,unknown,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2438,unknown,visolex/vihsd,,,text-classification,,,,,,,,,,,,,,,,,,
2439,meta-llama/Llama-3.1-8B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2440,meta-llama/Llama-3.2-3B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2441,meta-llama/Llama-2-13b-hf,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2444,meta-llama/Llama-3.2-3B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,0.95,,,,,,,,,
2445,meta-llama/Llama-3.1-8B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2446,meta-llama/Llama-3.1-8B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2447,meta-llama/Llama-3.2-3B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2448,meta-llama/Llama-3.2-3B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
2449,meta-llama/Llama-3.1-8B,Tevatron/msmarco-passage,,,text-classification,,,,,,,,,,,,,,,,,,
