model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads
Farshid/distilbert-base-uncased_allagree3,distilbert-base-uncased,financial_phrasebank,0.9779,sequence_classification,2e-05,32,10.0,,2022-07-04T21:04:03.000Z,,3
masterkram/roberta-base_financial_phrasebank,roberta-base,financial_phrasebank,,sequence_classification,5e-05,8,5.0,,2023-10-24T16:01:15.000Z,,3
jessica-ecosia/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8528,sequence_classification,5e-05,32,4.0,,2023-10-25T17:42:23.000Z,,3
jessica-ecosia/finetuning-llms-project-2,bert-base-uncased,financial_phrasebank,0.8494,sequence_classification,5e-05,32,4.0,,2023-10-25T22:51:02.000Z,,3
ssuzana/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,,sequence_classification,5e-05,32,4.0,,2023-10-26T17:01:03.000Z,,3
amit7859/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8583,sequence_classification,5e-05,32,4.0,,2023-10-27T14:04:19.000Z,,3
pkbiswas/Bert-Phrasebank-Sentiment-Analysis,bert-base-uncased,financial_phrasebank,0.8618,sequence_classification,5e-05,32,4.0,,2023-10-27T20:46:20.000Z,,3
Fakhry/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8563,sequence_classification,5e-05,32,4.0,,2023-10-28T11:06:53.000Z,,3
sdjoko/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8391,sequence_classification,5e-05,32,4.0,,2023-10-28T23:40:16.000Z,,3
fredriko/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8514,sequence_classification,5e-05,32,4.0,,2023-10-29T10:57:37.000Z,,3
eusojk/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8501,sequence_classification,5e-05,32,4.0,,2023-10-29T21:12:27.000Z,,3
snrism/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8466,sequence_classification,5e-05,32,4.0,,2023-10-29T22:20:19.000Z,,3
mankness/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8611,sequence_classification,5e-05,32,4.0,,2023-10-30T00:05:58.000Z,,3
isrraelmendoza92/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8418,sequence_classification,5e-05,32,4.0,,2023-10-30T01:27:09.000Z,,3
elrarun/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8652,sequence_classification,5e-05,32,4.0,,2023-10-31T02:16:48.000Z,,3
smenon/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8528,sequence_classification,5e-05,32,4.0,,2023-10-31T02:45:43.000Z,,3
valenaparicio16/bioBERT-finetuned-financial-phrasebank,bert-base-uncased,financial_phrasebank,,sequence_classification,2e-05,16,3.0,,2023-11-21T03:57:45.000Z,,3
swamime/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8294,sequence_classification,5e-05,32,4.0,,2023-11-03T13:52:32.000Z,,3
fredmulligan/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,sequence_classification,5e-05,32,4.0,,2023-11-03T17:57:57.000Z,,3
tangohoteltango/sentiment-analysis,distilbert-base-uncased,financial_phrasebank,,sequence_classification,5e-05,16,3.0,,2024-11-07T18:39:45.000Z,,3
assix-research/FinBERT-Tech-Sentiment,bert-base-uncased,financial_phrasebank,,sequence_classification,,,,,2025-10-25T21:56:35.000Z,,3
EomaxlSam/finbert-finetuned-sentimentpulse,bert-base-uncased,financial_phrasebank,,sequence_classification,,,,,2026-03-26T15:39:52.000Z,,3
JeswinMS4/bert-base-intent,bert-base-uncased,financial_phrasebank,,sequence_classification,2e-05,,3.0,,2023-04-14T08:13:05.000Z,,2
chjooon/text_classification_1,distilbert-base-uncased,financial_phrasebank,0.8351,sequence_classification,2e-05,16,3.0,,2023-06-21T10:25:55.000Z,,2
IngeniousArtist/stablelm-3b-finance,,financial_phrasebank,0.4081,sequence_classification,0.0002,1,1.0,,2023-08-28T09:47:56.000Z,,2
IngeniousArtist/openllama-3b-finance,,financial_phrasebank,0.4143,sequence_classification,0.0002,1,1.0,,2023-08-24T05:36:30.000Z,,2
langecod/Financial_Phrasebank_RoBERTa,roberta-base,financial_phrasebank,,sequence_classification,,,,,2023-09-26T03:05:48.000Z,,2
thomaslam04/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8377,sequence_classification,5e-05,32,4.0,,2023-10-22T20:57:01.000Z,,2
Priyabrata018/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8624,sequence_classification,5e-05,32,4.0,,2023-10-24T12:48:09.000Z,,2
KalleV/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8597,sequence_classification,5e-05,32,4.0,,2023-10-24T18:49:25.000Z,,2
sschangi/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,sequence_classification,5e-05,32,4.0,,2023-10-28T06:33:48.000Z,,2
JPBianchi/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8762,sequence_classification,5e-05,32,4.0,,2023-10-25T19:01:33.000Z,,2
ramnathv/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8638,sequence_classification,5e-05,32,4.0,,2023-11-07T21:29:34.000Z,,2
snowc2023/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,sequence_classification,5e-05,32,4.0,,2023-10-27T19:09:28.000Z,,2
willgannon/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8604,sequence_classification,5e-05,32,4.0,,2023-11-25T11:28:05.000Z,,2
sirenstitches/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,sequence_classification,5e-05,32,4.0,,2023-10-28T15:48:16.000Z,,2
giantist/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,sequence_classification,5e-05,32,4.0,,2023-10-28T16:35:37.000Z,,2
girijesh/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8556,sequence_classification,5e-05,32,4.0,,2023-10-28T16:52:30.000Z,,2
phusun/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8666,sequence_classification,5e-05,32,4.0,,2023-10-28T19:19:36.000Z,,2
guilima5/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8521,sequence_classification,5e-05,32,4.0,,2023-10-29T00:30:03.000Z,,2
nikolasmoya/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8597,sequence_classification,5e-05,32,4.0,,2023-10-29T11:25:57.000Z,,2
akode/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,sequence_classification,5e-05,32,4.0,,2023-10-29T12:23:42.000Z,,2
richychn/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8686,sequence_classification,5e-05,32,4.0,,2023-10-29T18:49:38.000Z,,2
Daluque/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.859,sequence_classification,5e-05,32,4.0,,2023-10-30T01:34:53.000Z,,2
neerajprad/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8576,sequence_classification,5e-05,32,4.0,,2023-10-30T04:36:08.000Z,,2
aleidolf/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8398,sequence_classification,5e-05,32,4.0,,2023-10-31T15:43:14.000Z,,2
akshay7/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,sequence_classification,5e-05,32,4.0,,2023-11-04T05:49:15.000Z,,2
ebuwaevbuoma-fike/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8576,sequence_classification,5e-05,32,4.0,,2023-11-04T21:23:47.000Z,,2
VishsubbAI/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8618,sequence_classification,5e-05,32,4.0,,2023-11-06T08:49:06.000Z,,2
mr8488/distilroberta-finetuned-financial-news-sentiment-analysis,roberta-base,financial_phrasebank,,sequence_classification,2e-05,8,5.0,,2024-04-23T18:51:37.000Z,,2
winddude/mamba_finacial_phrasebank_sentiment,,financial_phrasebank,,sequence_classification,,,,,2024-04-29T18:58:55.000Z,,2
vincentdrenth/ModernFinBERT,,financial_phrasebank,0.867,sequence_classification,8e-05,32,10.0,,2025-01-25T22:31:27.000Z,,2
Farshid/roberta-large-financial-phrasebank-allagree1,roberta-base,financial_phrasebank,0.9735,sequence_classification,2e-05,8,5.0,,2022-08-09T02:16:17.000Z,,1
santis2/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8514,sequence_classification,5e-05,32,4.0,,2023-10-26T17:00:11.000Z,,1
edangx100/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8693,sequence_classification,5e-05,32,4.0,,2023-10-27T06:56:02.000Z,,1
d4niel92/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8459,sequence_classification,5e-05,32,4.0,,2023-10-27T14:37:54.000Z,,1
sgsyyz/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8542,sequence_classification,5e-05,32,4.0,,2023-10-27T23:20:16.000Z,,1
Odiurd/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8645,sequence_classification,5e-05,32,4.0,,2023-10-28T12:41:59.000Z,,1
Saiteja/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.859,sequence_classification,5e-05,32,4.0,,2023-10-29T12:07:55.000Z,,1
mbrewerdavis/phrasebank-sentiment-analysis,bert-base-uncased,financial_phrasebank,0.8549,sequence_classification,5e-05,32,10.0,,2023-10-29T19:57:03.000Z,,1
judy93536/distilroberta-rbm231k-ep20-op40-phr2,roberta-base,financial_phrasebank,0.9558,sequence_classification,1.153335054745316e-06,16,30.0,,2023-12-02T18:48:57.000Z,,1
judy93536/distilroberta-rbm231k-ep20-op40-all-agree_2p2k,roberta-base,financial_phrasebank,0.9603,sequence_classification,1.253335054745316e-06,16,30.0,,2023-12-03T22:46:55.000Z,,1
yyf001125/financial-SentimentAnalysis-distilbert,distilbert-base-uncased,financial_phrasebank,,sequence_classification,,,,,2024-03-21T02:26:35.000Z,,1
halvion/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,financial_phrasebank,0.9801,sequence_classification,2e-05,16,2.0,,2024-09-13T14:35:34.000Z,,1
Farshid/bert-large-uncased-financial-phrasebank-allagree2,bert-base-uncased,financial_phrasebank,0.9912,sequence_classification,2e-05,8,5.0,,2022-08-10T05:02:54.000Z,,0
gd1m3y/sentiment_bert,bert-base-uncased,financial_phrasebank,0.936,sequence_classification,5e-05,8,6.0,,2022-11-30T15:04:50.000Z,,0
daan1213/my_awesome_model,distilbert-base-uncased,financial_phrasebank,0.9669,sequence_classification,2e-05,16,2.0,,2023-06-24T14:52:31.000Z,,0
daniel-gordon/bioBERT-finetuned-financial-phrasebank,bert-base-uncased,financial_phrasebank,,sequence_classification,2e-05,16,1.0,,2023-11-01T05:08:12.000Z,,0
Prathyusha101/pythia_1b_100_epochs_0.005,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-07-14T19:43:03.000Z,,3
Prathyusha101/tldr-ppco-g0p5-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-18T11:47:37.000Z,,3
Prathyusha101/aug_10_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-11T17:41:36.000Z,,2
Prathyusha101/aug_14_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-15T16:48:47.000Z,,2
Prathyusha101/tldr-ppco-g0p95-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-23T10:47:14.000Z,,2
Prathyusha101/tldr-ppco-g1p0-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T10:22:14.000Z,,2
Prathyusha101/tldr-ppco-g1p0-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T14:52:57.000Z,,2
Prathyusha101/tldr-ppco-g0p95-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T16:44:46.000Z,,2
Prathyusha101/aug_9_x_lr,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-10T16:40:16.000Z,,1
Prathyusha101/tldr-ppco-g0p5-l0p95,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-18T18:15:44.000Z,,1
Prathyusha101/tldr-ppco-g0p5-l1p0,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T11:17:20.000Z,,1
Prathyusha101/tldr-ppco-g0p95-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T05:10:53.000Z,,1
Prathyusha101/tldr-ppco-g1p0-l0p5,,trl-internal-testing/tldr-preference-sft-trl-style,,sequence_classification,,,,,2025-08-19T05:21:26.000Z,,1
Intel/polite-guard,bert-base-uncased,Intel/polite-guard,,sequence_classification,,,,,2025-02-24T03:07:08.000Z,,2052
enguard/tiny-guard-4m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:58:49.000Z,,18
enguard/medium-guard-128m-xx-general-politeness-multiclass-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:58:29.000Z,,17
enguard/small-guard-32m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:58:40.000Z,,15
enguard/tiny-guard-2m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:59:06.000Z,,15
enguard/tiny-guard-8m-en-general-politeness-multiclass-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:58:58.000Z,,8
kzt005/polite-guard,bert-base-uncased,Intel/polite-guard,,sequence_classification,,,,,2026-04-16T05:55:19.000Z,,2
enguard/tiny-guard-8m-en-general-politeness-binary-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:58:08.000Z,,1
enguard/small-guard-32m-en-general-politeness-binary-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:57:20.000Z,,0
enguard/tiny-guard-2m-en-general-politeness-binary-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:57:31.000Z,,0
enguard/medium-guard-128m-xx-general-politeness-binary-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:57:50.000Z,,0
enguard/tiny-guard-4m-en-general-politeness-binary-intel,,Intel/polite-guard,,sequence_classification,,,,,2025-11-05T19:57:59.000Z,,0
visolex/emotion-sphobert,roberta-base,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T16:13:17.000Z,,240
visolex/emotion-phobert-v1,roberta-base,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:41:43.000Z,,138
visolex/emotion-phobert-v2,roberta-base,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:40:59.000Z,,34
visolex/emotion-bartpho,,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:44:16.000Z,,2
visolex/emotion-vit5,,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:45:49.000Z,,2
visolex/emotion-visobert,xlm-roberta-base,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:46:37.000Z,,2
visolex/emotion-xlm-roberta,xlm-roberta-base,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:42:49.000Z,,1
visolex/emotion-mbert,bert-base-uncased,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:45:02.000Z,,0
visolex/emotion-roberta-gru,,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:48:28.000Z,,0
visolex/emotion-textcnn,,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:49:02.000Z,,0
visolex/emotion-bilstm,,visolex/VSMEC,,sequence_classification,,,,,2026-01-05T03:49:45.000Z,,0
llm-semantic-router/mmbert32k-jailbreak-detector-merged,,lmsys/toxic-chat,,sequence_classification,,,,,2026-03-06T02:20:21.000Z,,3380
DominicTWHV/Horizon-1-Text-Large,,lmsys/toxic-chat,,sequence_classification,,,,,2026-05-02T11:39:04.000Z,,63
DominicTWHV/Constellation-One-Text,microsoft/deberta-v2-xlarge,lmsys/toxic-chat,,sequence_classification,,,,,2026-02-19T19:29:00.000Z,,22
enguard/tiny-guard-4m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T20:49:15.000Z,,16
enguard/tiny-guard-2m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T20:49:06.000Z,,15
enguard/medium-guard-128m-xx-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T20:49:28.000Z,,15
enguard/small-guard-32m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T20:48:48.000Z,,14
jdleo1/tinysafe-1,,lmsys/toxic-chat,,sequence_classification,,,,,2026-03-02T07:03:00.000Z,,14
enguard/tiny-guard-8m-en-prompt-toxicity-binary-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T20:48:56.000Z,,8
enguard/medium-guard-128m-xx-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T06:34:55.000Z,,7
AgentPublic/camembert-base-toxic-fr-user-prompts,camembert-base,lmsys/toxic-chat,,sequence_classification,,,,,2024-05-30T14:02:19.000Z,,6
llm-semantic-router/mmbert32k-jailbreak-detector-lora,,lmsys/toxic-chat,,sequence_classification,,,,,2026-02-01T04:13:04.000Z,,5
jdleo1/tinysafe-2,,lmsys/toxic-chat,,sequence_classification,,,,,2026-03-04T03:44:41.000Z,,5
independently-platform/picoguardian-v3,,lmsys/toxic-chat,,sequence_classification,,,,,2026-04-18T14:35:14.000Z,,5
kenhktsui/setfit_test_toxic_chat,,lmsys/toxic-chat,,sequence_classification,0.01,,,,2024-08-18T14:36:36.000Z,,4
enguard/tiny-guard-4m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T06:34:24.000Z,,4
enguard/tiny-guard-8m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T06:34:34.000Z,,2
enguard/tiny-guard-2m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T06:35:03.000Z,,2
enguard/small-guard-32m-en-prompt-toxicity-toxic-chat,,lmsys/toxic-chat,,sequence_classification,,,,,2025-11-05T06:34:17.000Z,,1
arkaean/promptguard-ensemble,,lmsys/toxic-chat,,sequence_classification,,,,,2026-03-05T14:03:29.000Z,,0
logasanjeev/bert-emotion-classifier,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-03-11T18:09:09.000Z,,1863
ChrisLalk/German-Emotions,xlm-roberta-base,google-research-datasets/go_emotions,0.41,sequence_classification,3e-05,,,,2025-06-15T15:02:48.000Z,,1273
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta-v3,roberta-base,google-research-datasets/go_emotions,,sequence_classification,5e-05,8,3.0,,2024-12-13T01:17:11.000Z,,406
yezdata/EmCoder,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-06-04T19:15:39.000Z,,392
duelker/samo-goemotions-deberta-v3-large,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-09-11T09:52:15.000Z,,389
mradermacher/emotion-analyzer-bert-GGUF,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-03-22T17:51:23.000Z,,204
mkpvishnu/miniLM-go_Emotions,bert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2024-06-13T16:57:24.000Z,,145
AliceYin/goemotions-roberta-large-focal-sota,roberta-base,google-research-datasets/go_emotions,,sequence_classification,1e-05,,,,2026-06-01T01:21:42.000Z,,77
joaopn/roberta-base-go_emotions-onnx-fp16,roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-01-28T20:48:29.000Z,,63
wncelrcn/mindmap-deBERTa-goemotions-multilabel,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-07-12T04:39:24.000Z,,31
fyaronskiy/ModernBERT-large-english-go-emotions,,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-07-21T23:18:28.000Z,,25
sangkm/go-emotions-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,sequence_classification,5e-05,8,3.0,,2024-12-12T11:18:28.000Z,,11
Samra02/multilingual_emotion_analysis,bert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-03-18T11:39:55.000Z,,8
pinheiroxs/pinheiro-roberta-goemotions,roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-11-14T17:40:08.000Z,,6
samarthruckstar/xlm_hindi_english_emoClss,xlm-roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-05-15T12:38:18.000Z,,6
Hidden-States/roberta-base-goemotions,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-02-01T12:29:30.000Z,,5
maxpicy/modernbert-large-emotion-balanced,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-17T06:09:16.000Z,,5
Jsevisal/ModernEMO-base-multilabel,,google-research-datasets/go_emotions,0.6226,sequence_classification,8e-05,16,2.0,,2025-01-23T09:07:28.000Z,,4
ysenarath/roberta-base-go_emotions,roberta-base,google-research-datasets/go_emotions,0.4561,sequence_classification,5e-06,8,25.0,,2025-02-21T02:02:21.000Z,,4
AR04/Senti,,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-09-16T07:02:17.000Z,,4
blindshark/distillbert-emotion-classification,distilbert-base-uncased,google-research-datasets/go_emotions,0.5820000000000001,sequence_classification,,,,,2025-10-05T12:12:08.000Z,,4
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta-v2,roberta-base,google-research-datasets/go_emotions,,sequence_classification,5e-05,8,3.0,,2024-12-12T18:56:54.000Z,,3
mishbahulal/distilbert-base-uncased,distilbert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-03-05T16:54:51.000Z,,3
Fynman-stack/raven-emotion-distilbert,distilbert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-12T09:06:49.000Z,,3
tojohere/goemotions-de-xlm-roberta-base,xlm-roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-07T08:42:57.000Z,,3
sangkm/augmented-go-emotions-plus-other-datasets-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,sequence_classification,5e-05,8,3.0,,2024-12-12T12:21:29.000Z,,2
wncelrcn/mindmap-deBERTa-small-goemotions-v2,microsoft/deberta-v2-xlarge,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-07-12T04:38:22.000Z,,2
wncelrcn/mindmap-MiniLM-goemotions-v1,bert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-07-12T04:41:30.000Z,,2
VanshajR/roberta-emotion-7class,roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-11-20T11:19:30.000Z,,2
jovincia/qwen25-comment-classifier,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-02-27T10:42:38.000Z,,2
maxpicy/modernbert-base-emotion-balanced,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-17T06:10:51.000Z,,2
Kova-Mind/emotion-v1,roberta-base,google-research-datasets/go_emotions,,sequence_classification,2e-05,,,,2026-04-19T01:01:32.000Z,,2
Kova-Mind/emotion-v2,roberta-base,google-research-datasets/go_emotions,,sequence_classification,2e-05,,,,2026-04-21T02:12:27.000Z,,2
samarthruckstar/emotion_label_model,roberta-base,google-research-datasets/go_emotions,,sequence_classification,2e-05,,,,2026-05-10T15:33:52.000Z,,2
tuhanasinan/go-emotions-distilbert-pytorch,distilbert-base-uncased,google-research-datasets/go_emotions,0.6196,sequence_classification,5e-05,128,2.0,,2025-01-23T11:23:46.000Z,,1
tuhanasinan/go_emotions-distilbert-tensorflow,distilbert-base-uncased,google-research-datasets/go_emotions,0.6182,sequence_classification,,,,,2024-12-03T14:57:39.000Z,,1
sangkm/go-emotions-plus-other-datasets-fine-tuned-distilroberta,roberta-base,google-research-datasets/go_emotions,,sequence_classification,5e-05,8,3.0,,2024-12-12T12:21:23.000Z,,1
dafaqboomduck/distilbert-sentiment-fine,distilbert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-10-28T15:46:20.000Z,,1
pinheiroxs/pinheiro-roberta-goemotions-v2,roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-11-14T21:23:14.000Z,,1
YashHingu/Emotisence,roberta-base,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-19T14:28:05.000Z,,1
sajeewa/emotion-classification-bert,bert-base-uncased,google-research-datasets/go_emotions,,sequence_classification,,,,,2025-04-25T09:25:03.000Z,,0
tojohere/goemotions-ja-xlm-roberta-base,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-07T19:08:40.000Z,,0
YatishW79/bilstm-goemotions,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-23T19:03:06.000Z,,0
YatishW79/cnn-lstm-goemotions,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-23T19:03:07.000Z,,0
YatishW79/classical-ml-goemotions,,google-research-datasets/go_emotions,,sequence_classification,,,,,2026-04-23T19:03:48.000Z,,0
bhadresh-savani/distilbert-base-uncased-emotion,distilbert-base-uncased,emotion,,sequence_classification,2e-05,,,,2024-08-14T14:11:10.000Z,,20280
nateraw/bert-base-uncased-emotion,bert-base-uncased,emotion,,sequence_classification,2e-05,,,,2021-05-20T01:18:38.000Z,,9304
bhadresh-savani/bert-base-uncased-emotion,bert-base-uncased,emotion,,sequence_classification,2e-05,,,,2023-03-22T08:43:48.000Z,,5610
bhadresh-savani/albert-base-v2-emotion,albert-base-v2,emotion,,sequence_classification,2e-05,,,,2021-09-15T18:03:36.000Z,,4916
Toshifumi/bert-base-multilingual-cased-finetuned-emotion,bert-base-uncased,emotion,0.9195,sequence_classification,2e-05,64,2.0,,2022-04-14T08:27:21.000Z,,661
bhadresh-savani/roberta-base-emotion,roberta-base,emotion,,sequence_classification,2e-05,,,,2023-03-22T08:48:07.000Z,,623
TieIncred/distilbert-base-uncased-finetuned-emotional,distilbert-base-uncased,emotion,0.9305,sequence_classification,2e-05,64,2.0,,2024-01-11T10:30:18.000Z,,512
transformersbook/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,sequence_classification,2e-05,64,2.0,,2022-05-30T06:13:40.000Z,,433
Fayad11/fine_tuned_emotion_inference_model,bert-base-uncased,emotion,,sequence_classification,,,,,2026-05-15T17:36:43.000Z,,87
linlin336/distilbert-finetuned-emotion,distilbert-base-uncased,emotion,,sequence_classification,,,,,2026-06-12T15:29:17.000Z,,79
Rahmat82/DistilBERT-finetuned-on-emotion,distilbert-base-uncased,emotion,0.9235,sequence_classification,2e-05,64,2.0,,2024-02-28T09:48:15.000Z,,57
bhadresh-savani/electra-base-emotion,google/electra-base-discriminator,emotion,,sequence_classification,,,,,2023-03-22T08:42:55.000Z,,48
